iSight,,,,0.7 MP backside illuminated CMOS image sensor with video (720p HD at 30 fps) and 0.7 MP photos,,"8 MP backside illuminated sensor with video (1080p HD at 30 fps with 3x zoom, 720p slo-mo video at 120 fps, time-lapse video, cinematic video stabilization), exposure control, panorama"
FaceTime,,,,0.3 MP (VGA) photos and video at up to 30 fps,1.2 MP photos and 720p video at up to 30 fps,1.2 MP backside illuminated sensor with 720p HD video
Audio codec,Wolfson Microelectronics WM8758BG,Cirrus Logic CS42L58 (338S055C),Cirrus Logic CLI1480A (338S0559),Cirrus Logic 338S0589,Cirrus Logic 338S1077,Cirrus Logic 338S1116
Made for iPhone Hearing Aid Compatible,,,,,Yes,Yes
Live Listen,,,,,Yes,Yes
Materials,Stainless steel back and aluminum bezel; plastic for Wi-Fi antenna,Contoured stainless steel back and bezel; plastic for Wi-Fi and Bluetooth antenna,Contoured stainless steel back and bezel; plastic for Wi-Fi and Bluetooth antenna,"Glass display, stainless steel back and bezel",Contoured aluminum back and bezel; plastic for Wi-Fi and Bluetooth antenna,Contoured aluminum back and bezel; plastic for Wi-Fi and Bluetooth antenna
Power,3.7 V 2.15 Wh (580 mAh),3.7 V 2.73 Wh (739 mAh),3.7 V 2.92 Wh (789 mAh),3.7 V 3.44 Wh (930 mAh),"3.7 V 3.8 Wh (1,030 mAh)","3.83 V 3.99 Wh (1,043 mAh)"
Rated battery life (hours),audio: 22 video: 5,audio: 36 video: 6,audio: 30 video: 6,audio: 40 video: 7,audio: 40 video: 8,audio: 40 video: 8
Dimensions,110 mm (4.3 in) H 61.8 mm (2.43 in) W 8 mm (0.31 in) D,110 mm (4.3 in) H 61.8 mm (2.43 in) W 8.5 mm (0.33 in) D,110 mm (4.3 in) H 61.8 mm (2.43 in) W 8.5 mm (0.33 in) D,110 mm (4.3 in) H 58 mm (2.3 in) W 7.1 mm (0.28 in) D,123.4 mm (4.86 in) H 58.6 mm (2.31 in) W 6.1 mm (0.24 in) D,123.4 mm (4.86 in) H 58.6 mm (2.31 in) W 6.1 mm (0.24 in) D
Weight,120 g (4.2 oz),115 g (4.1 oz),115 g (4.1 oz),101 g (3.6 oz),86 g (3.0 oz),88 g (3.1 oz)
Greenhouse gas emissions,,30 kg CO2e,33 kg CO2e,50 kg CO2e,45 kg CO2e,70 kg CO2e
Hardware strings,"iPod1,1","iPod2,1","iPod3,1","iPod4,1","iPod5,1","iPod7,1"
Model number,A1213,A1288 A1319 (China),A1318,A1367,A1509,A1574
FCCID,BCGA1213,BCGA1288,BCG-2310,BCG-E2407,BCG-A1421,BCGA1574
Released,"8 and 16 GB: September 5, 2007 32 GB: February 27, 2008","8, 16 and 32 GB: September 9, 2008 8 GB (MC model): September 9, 2009","September 9, 2009","Black (8, 32 and 64 GB): September 1, 2010 White (8, 32 and 64 GB): October 12, 2011 Black and white (16 GB): September 12, 2012","May 30, 2013","July 15, 2015"
Discontinued,"September 9, 2008","8, 16 and 32 GB: September 9, 2009 8 GB (MC model): September 1, 2010","September 1, 2010","8 and 64 GB: September 12, 2012 16 and 32 GB: May 30, 2013","June 26, 2014",In production
Unsupported,"June 21, 2010","March 9, 2011","September 19, 2012","February 21, 2014","September 13, 2016",Supported
